web-scraper-order,web-scraper-start-url,Details,superficie,addresse,prix,image_lien-src
"1705965756-1","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705965756-2","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain 611m Ngaparou","611 m²","Ngaparou,
Thiès","36 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d803a110745ee60617a9b776961a2545/-/horizon-files-prod/ed/picture/q8v5nd69/d05cc1438ce76ec0898312cabcf9e88af84af9c2.jpg"
"1705965756-3","https://www.expat-dakar.com/terrains-a-vendre?page=50","","","","",""
"1705965756-4","https://www.expat-dakar.com/terrains-a-vendre?page=50","Lot de terrain TF à vendre par moratoire à TIVAOUNE PEULH","150 m²","Tivaouane peulh,
Dakar","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/96e57d9d9fb4a8c6b2b5fcca548d2679/-/horizon-files-prod/ed/picture/qv4p2wv2/852d37325cbd57c09b915c237d20ca104dc20210.jpg"
"1705965756-5","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain a vendre a touba","500 m²","Autres,
Autres","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/40a7d93339218a625eb971bb084ca9cd/-/horizon-files-prod/ed/picture/qkrg50dw/19248c042d296a7a69ac65c67e1b1bb13e0a5d7f.jpg"
"1705965756-6","https://www.expat-dakar.com/terrains-a-vendre?page=50","BAMBILOR TERRAIN A VENDRE","70,000 m²","Bambilor,
Dakar","1 800 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/10c4251430285e00b6c94253194d1a1c/-/horizon-files-prod/ed/picture/qv4eg4d2/48cb710d0f4558c6ab82279992045c7496d297c7.jpg"
"1705965756-7","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain de 200m2 sis à batrin (cité des lions)","200 m²","Ouakam,
Dakar","90 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6c465f7551fc0c95eea46e1ba9b15df/-/horizon-files-prod/ed/picture/q2jq7z2g/ace1b78f151f0f9bd0cd0837f6f4e3bb4c635b59.jpg"
"1705965756-8","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain Tf à vendre à thies","278 m²","Thiès,
Thiès","50 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac7d75426e1597829bf749dfd734871f/-/horizon-files-prod/ed/picture/q4480jq4/ba2e9b824a194e190fb2ec59c6dd0d1409d8cd62.jpg"
"1705965756-9","https://www.expat-dakar.com/terrains-a-vendre?page=50","Vente Villa à démolir Sicap Dieuppeul","292 m²","Dieuppeul,
Dakar","215 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f845ef4d173f37fa3de6d854f0d6aff/-/horizon-files-prod/ed/picture/qq47zmmk/8665723d7d0d0fe3bf75d902b89a98ba803ae440.jpg"
"1705965756-10","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain de 225m2 à Almadies 2","225 m²","Almadies 2,
Dakar","50 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f6f89745895638903a1031696073856/-/horizon-files-prod/ed/picture/qm5p0zq6/7ee6f5275e07390ff0c3604179385692d0763eb7.jpg"
"1705965756-11","https://www.expat-dakar.com/terrains-a-vendre?page=50","Un terrain dans un quartier propre","300 m²","Almadies,
Dakar","200 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3ac8234f7146605616220e9c1906d38/-/horizon-files-prod/ed/picture/q2jqkepe/695ef2a8cfb9d27af9b31555f4160b8e2e4d9e87.jpg"
"1705965756-12","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain à vendre Bignona - Kadiamor","277 m²","Bignona,
Ziguinchor","4 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ec966b355c8033fac0020705dd54956/-/horizon-files-prod/ed/picture/qm5pgdpq/cd58df19dc8d65d9936f212cd2220f87726bd668.jpg"
"1705965756-13","https://www.expat-dakar.com/terrains-a-vendre?page=50","Profitez de cette belle occasion","100 m²","Liberte 4,
Dakar","65 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/77b7019ef214ec0e4b4a65de3f3bc0f7/-/horizon-files-prod/ed/picture/qpd6gzkv/fcfd9c0eabc7a30ed84575b2ff90f016cee38ba1.jpg"
"1705965776-14","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain À Vendre","1,000 m²","Touba,
Diourbel","550 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/17143929b9b92c447240ff2ca6c9a9e1/-/horizon-files-prod/ed/picture/q8v5dwpj/d2f650efd2d30c43777e26598b71afb8aa23406b.jpg"
"1705965776-15","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705965776-16","https://www.expat-dakar.com/terrains-a-vendre?page=49","","","","",""
"1705965776-17","https://www.expat-dakar.com/terrains-a-vendre?page=49","A VENDRE UN TERRAIN A LA BOA","214 m²","Almadies,
Dakar","110 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/412f5cee8a8d88c01595510ae098d3f6/-/horizon-files-prod/ed/picture/q56x9z0r/2cef44ad45f043a7021e06b253173bf73938eac5.jpg"
"1705965776-18","https://www.expat-dakar.com/terrains-a-vendre?page=49","Champ à vendre à Mboro","","Mboro,
Thiès","25 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b28ff469a05e48201ffd72e6d35c3901/-/horizon-files-prod/ed/picture/q785pvrq/fd161be7f447d49867bb7890c4fbcf1b2f215ad3.jpg"
"1705965776-19","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain agricole à Mboro","","Mboro,
Thiès","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0058275ff7001eee036274a12667ecf/-/horizon-files-prod/ed/picture/qngdpwwv/27648538aecc9f07c2c6bccdcab92614708c3770.jpg"
"1705965776-20","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain 300 m 2 à yene","300 m²","Yene,
Dakar","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ed40184bc1a337ee952758308edc29a3/-/horizon-files-prod/ed/picture/q7857rn8/e91b9cf6b0f79114e60dcf7cadb9f14c138c4c0b.jpg"
"1705965776-21","https://www.expat-dakar.com/terrains-a-vendre?page=49","TERRAIN à vendre à NDAYANE MBOUR","150 m²","Mbour,
Thiès","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7165cefd4a7bf79acf3f431f43a8d50a/-/horizon-files-prod/ed/picture/qgqg06d2/27bdbb04725c5c8b4b11d5a85a88f5265c422e1c.jpg"
"1705965776-22","https://www.expat-dakar.com/terrains-a-vendre?page=49","Venez vite ! Terrain à vendre Almadies","895 m²","Almadies,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/43eca8ead619eaa58cb7e677c15cfd57/-/horizon-files-prod/ed/picture/qrzvnnp2/1728036d9ea91584ad6b4549ce723e4371cd383e.jpg"
"1705965776-23","https://www.expat-dakar.com/terrains-a-vendre?page=49","TERRAIN A VENDRE DERRIÈRE STATION EYDON","500 m²","Almadies,
Dakar","350 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/419313bc4b19b98914d434f397d2b51a/-/horizon-files-prod/ed/picture/q2jq7766/fee7dc677af12ad36efe19e72792be1acd844a3a.jpg"
"1705965776-24","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain à vendre","195 m²","Virage,
Dakar","90 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8db82f150a3980f5396449b5791bec1/-/horizon-files-prod/ed/picture/qwe2grqz/fd4dfc46e9745969a6d387fdda41494d7d05f0a9.jpg"
"1705965776-25","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrain A VENDRE PATTE D'OIE","592 m²","Patte d‘oie,
Dakar","250 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef5dbd4ef268a746300bb8dfc8f964d2/-/horizon-files-prod/ed/picture/qzvd8xzk/65ffbc17bdcb2c7e628f3d715de3238086867e48.jpg"
"1705965776-26","https://www.expat-dakar.com/terrains-a-vendre?page=49","Terrains à vendre sur la vdn","1,012 m²","VDN,
Dakar","1 619 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd5171875d64965e9fe391eb92727517/-/horizon-files-prod/ed/picture/qngx7g7g/db39559daa96ee97d97122cb360b84a46f11a443.jpg"
"1705965795-27","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain À Vendre","1,000 m²","Touba,
Diourbel","550 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/17143929b9b92c447240ff2ca6c9a9e1/-/horizon-files-prod/ed/picture/q8v5dwpj/d2f650efd2d30c43777e26598b71afb8aa23406b.jpg"
"1705965795-28","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain 611m Ngaparou","611 m²","Ngaparou,
Thiès","36 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d803a110745ee60617a9b776961a2545/-/horizon-files-prod/ed/picture/q8v5nd69/d05cc1438ce76ec0898312cabcf9e88af84af9c2.jpg"
"1705965795-29","https://www.expat-dakar.com/terrains-a-vendre?page=48","","","","",""
"1705965795-30","https://www.expat-dakar.com/terrains-a-vendre?page=48","TERRAIN A VENDRE ALMADIE BOA","190 m²","Almadies,
Dakar","100 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd7463d7fac66ef2cc75589d2f5fbd05/-/horizon-files-prod/ed/picture/q0gwk7je/af8c3d72b25cd0f6092108c6ba2bb73ab9c469c5.jpg"
"1705965795-31","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain a vendre recasement 2","168 m²","Virage,
Dakar","90 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/aaad98943d991bae610bcebd24c0c756/-/horizon-files-prod/ed/picture/qwe2g9vk/28d2d105353c7be29f8b5c836afee807c4fddaec.jpg"
"1705965795-32","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain 225 m2 almadie 2","225 m²","Almadies 2,
Dakar","70 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7810e1fbf6b204b85b9fef7801a5993e/-/horizon-files-prod/ed/picture/qj4rpw6g/9ed361ee29015c15dbe0a43753e926668113fb8d.jpg"
"1705965795-33","https://www.expat-dakar.com/terrains-a-vendre?page=48","1 hectare bambilor","10,000 m²","Bambilor,
Dakar","170 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/746961c3f92386e9b47c35337d293384/-/horizon-files-prod/ed/picture/qkrgpq8n/ba62d6087fa25a4ada5c4a07a5bd678869cc21d0.jpg"
"1705965795-34","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain bon pour projet","540 m²","Almadies,
Dakar","270 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/934541e5fdd6c1c1719dd4ed1f88b3e9/-/horizon-files-prod/ed/picture/q2jq7drk/0fb7df09b04bc38ea617141acced57213ccae454.jpg"
"1705965795-35","https://www.expat-dakar.com/terrains-a-vendre?page=48","Champs à vendre à Noflaye","10,900 m²","Noflaye,
Dakar","350 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/9451cdf4301537e53f62504964ef086c/-/horizon-files-prod/ed/picture/q6xkkqrd/6b94b1c0d3c19ee1a2d32137bc6bbb236d4f2fce.jpg"
"1705965795-36","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain à vendre à THIES","200 m²","Thiès,
Thiès","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0fba2e3254cafcec648b9ffda0373ab/-/horizon-files-prod/ed/picture/qdek9pm2/c47e79585d01328d334a2fbd766a552033953e45.jpg"
"1705965795-37","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrains 150m2 à Kounoune ville neuve TF","150 m²","Kounoune,
Dakar","14 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b18014aa35b7de26f9ed400c35302556/-/horizon-files-prod/ed/picture/q56x4de2/e953c152bd33c26c64b202adf1a98edab69f173c.jpg"
"1705965795-38","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrains à vendre Diamnadio","10,000 m²","Diamniadio,
Dakar","500 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/df1d11254072ac59ce72f7e3b08d4b3f/-/horizon-files-prod/ed/picture/qzvdzzg6/52b8a31829e7849e9db0774772af1898151f4780.jpg"
"1705965795-39","https://www.expat-dakar.com/terrains-a-vendre?page=48","Terrain avec NICAD en Face Port de Ndayane","9,600 m²","Toubab dialo,
Dakar","384 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/7708adb56ca50d25a871ba564bd09260/-/horizon-files-prod/ed/picture/qenq9wd6/d81c9e975c06bbc701dd35b440ea2f631ef09904.jpg"
"1705965815-40","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705965815-41","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705965815-42","https://www.expat-dakar.com/terrains-a-vendre?page=47","","","","",""
"1705965815-43","https://www.expat-dakar.com/terrains-a-vendre?page=47","Saly St-Joseph Diambars TF privé 487m² à vendre","487 m²","Mbour,
Thiès","38 750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/48e5773a23041b2923e2d3d9419beaff/-/horizon-files-prod/ed/picture/qv442rej/05dc539d9b5546e607f0797a7f0aaa50b4fbafcb.jpg"
"1705965815-44","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrain a vendre","300 m²","Thiès,
Thiès","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/954d7137b0df0c0781cf12eafe6892ba/-/horizon-files-prod/ed/picture/q4484422/5966396af5f0e66439ee1ef502edff1f290b3fd1.jpg"
"1705965815-45","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrain à vendre à yoff","500 m²","Yoff,
Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0bb4ffa8f4c060f9ac4eae4c63a155e/-/horizon-files-prod/ed/picture/qwe2p90z/8d4d4ef8b1f77b1e6513cf349adbc3b1080d3b88.jpg"
"1705965815-46","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrain à vendre SINDIA A PROXIMITE DU PEAGE","225 m²","Thiès,
Thiès","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/5e263bca0b4bb455ce9832f5c21af5b6/-/horizon-files-prod/ed/picture/qm5pp9k2/1b1cfbf7a38b049762aaae8a7902de4e88dbf26a.jpg"
"1705965815-47","https://www.expat-dakar.com/terrains-a-vendre?page=47","TERRAIN NU TF VIABILISE A PARTIR DE 150m² AV","150 m²","Sangalkam,
Dakar","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/398de2cb3836c0ccf747de9af26188ff/-/horizon-files-prod/ed/picture/qenq9evk/e0eb905aec92ea1a63c9a74b78b4a36a9aab9742.jpg"
"1705965815-48","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrain 500m2 à vendre à rufisque","500 m²","Rufisque,
Dakar","55 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7727e884a21f69f09bb556e4ee95f0d/-/horizon-files-prod/ed/picture/qrzvne8n/4416b09f1d5fb5c6e3d912297f1adba3fbf8ee83.jpg"
"1705965815-49","https://www.expat-dakar.com/terrains-a-vendre?page=47","Terrains commercial almadies","2,000 m²","Almadies,
Dakar","1 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e10782f2b036132ca57d7c36bb548111/-/horizon-files-prod/ed/picture/q4480ge9/ee99fe9eba016532b153857af44c711bc8f5eedb.jpg"
"1705965815-50","https://www.expat-dakar.com/terrains-a-vendre?page=47","TERRAIN 2 HECTARES AU CROISEMENT NIAGUE BORDURE DE ROUTE.","20,000 m²","Niakoul rap,
Dakar","800 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ffe4f7de6a8b22dde7ba282521f2515/-/horizon-files-prod/ed/picture/qj444z9g/71a20f00c7e80c21a4df61952758ab64e153ada5.jpg"
"1705965815-51","https://www.expat-dakar.com/terrains-a-vendre?page=47","DES LOTS TERRAINS A LA SICAP KEUR MASSAR.","150 m²","Keur Massar,
Dakar","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bac595f096184fd2423c5b8356696f5d/-/horizon-files-prod/ed/picture/qzvvvxkg/1393004c7ac4f88b3cb8f03c801f6d82d63061cb.jpg"
"1705965815-52","https://www.expat-dakar.com/terrains-a-vendre?page=47","TERRAIN de 1000m²","","Almadies,
Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/8dd60b98b2e7ee799b70eda10a99e0d8/-/horizon-files-prod/ed/picture/qj4rp2nd/f35978807e69b7f0d111d0d9d8303157e75b7b8b.jpg"
"1705965835-53","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain À Vendre","1,000 m²","Touba,
Diourbel","550 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/17143929b9b92c447240ff2ca6c9a9e1/-/horizon-files-prod/ed/picture/q8v5dwpj/d2f650efd2d30c43777e26598b71afb8aa23406b.jpg"
"1705965835-54","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705965835-55","https://www.expat-dakar.com/terrains-a-vendre?page=46","","","","",""
"1705965835-56","https://www.expat-dakar.com/terrains-a-vendre?page=46","En première ligne de bord de route de Guéréo","2,080 m²","Guereo,
Thiès","58 999 984 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/659d17615e5bddcb513d3957c652f681/-/horizon-files-prod/ed/picture/qzvdrv4v/f7aaf30aca19fc4ad3afd4f21d6f78d44123e56c.jpg"
"1705965835-57","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain en bordure de mer en zone industrielle à vendre","6,400 m²","Hann marinas,
Dakar","1 280 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dad3445564ef1f1f6ef553b9d5aafd0/-/horizon-files-prod/ed/picture/qpd6npq4/e5b0d3a8bc0a361379898e778da156cb1863748a.jpg"
"1705965835-58","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain à vendre Mamelles","250 m²","Mamelles,
Dakar","200 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/986b81e50afb544c7ae5d5b7a85d3170/-/horizon-files-prod/ed/picture/qdek0xkr/1468acab99ec2d154b26afa49cdc2c81e518a5de.jpg"
"1705965835-59","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrains à vendre cite Mourada 2","500 m²","VDN,
Dakar","300 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/dcd006035e65abd26afadf591764521a/-/horizon-files-prod/ed/picture/qv4eg8dv/ce04a26d9dfba3b15920de942db660f00e41fa15.jpg"
"1705965835-60","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain à vendre à Kounoune","150 m²","Kounoune,
Dakar","15 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/50f07fb19126262d0020beac5e3f902d/-/horizon-files-prod/ed/picture/q6xkne2p/f7a3c39847631a732c9b4ecba2c294af1133aa15.jpg"
"1705965835-61","https://www.expat-dakar.com/terrains-a-vendre?page=46","DEVENEZ ENFIN PROPRIÉTAIRE AU MEILLEUR PRIX","500,000 m²","Sangalkam,
Dakar","25 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/712232ff3ac70b96e817c9b20de3237b/-/horizon-files-prod/ed/picture/q785pz5e/59d2f0f039bf37e0052e63609aa965c5faae2d11.jpg"
"1705965835-62","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain de 500 m2 à vendre à Saly","500 m²","Saly,
Thiès","33 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fd2ffec9968861202c6386dab5015a0/-/horizon-files-prod/ed/picture/qngx7mzg/4f3fe3ced6d7edc13e41ec493ab283795edb74c8.jpg"
"1705965835-63","https://www.expat-dakar.com/terrains-a-vendre?page=46","Terrain à vendre à Keur Massamba Gueye","400 m²","Thiès,
Thiès","25 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/670afd73ebdf9a7c2d93d7d38c7400d8/-/horizon-files-prod/ed/picture/q0gwnpzj/c3484d8fa48b97d01bc96fc876f1a501f38dbc2e.jpg"
"1705965835-64","https://www.expat-dakar.com/terrains-a-vendre?page=46","TERRAIN NU A VENDRE A HANN MARISTES BORDURE DE ROUTE","300 m²","Hann maristes,
Dakar","165 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb699cfe93a26e431498049e39ac8e83/-/horizon-files-prod/ed/picture/q8v5me7j/cfac4ec02e464230ddea8bb1dfe733c48fc376b1.jpg"
"1705965835-65","https://www.expat-dakar.com/terrains-a-vendre?page=46","Keur Massar - Terrain","","Pikine,
Dakar","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/48360cea7779df25d24005d913a611dc/-/horizon-files-prod/ed/picture/migrated/q8mqe0x/e85a1e3c214c46b356c1b9007a5084ad70551675.jpg"
"1705965855-66","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrains lotissement Cité Douanes VDN3","150 m²","Guediawaye,
Dakar","29 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/34c3d3103bd08d63e5d462465eb56a1a/-/horizon-files-prod/ed/picture/qkrgqqmp/2766d8eba7fe60c2d8bd01a90fb5df01f1eed299.jpg"
"1705965855-67","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain pied dans l'eau Virage","872 m²","Virage,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/a53bbf0c754848be210ea018141b85bb/-/horizon-files-prod/ed/picture/qkrg6dev/889ca5152bb9745e6b6894a0c3d9f01b726182e5.jpg"
"1705965855-68","https://www.expat-dakar.com/terrains-a-vendre?page=45","","","","",""
"1705965855-69","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain 998m2 gandigal route de mbour","998 m²","Mbour,
Thiès","120 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f0337cb127e211e0123b3598ece41c/-/horizon-files-prod/ed/picture/qwe2npe5/83964ac759282b98d4e56553a146685fdfe31f4f.jpg"
"1705965855-70","https://www.expat-dakar.com/terrains-a-vendre?page=45","TERRAIN À VENDRE SALY PORTUDAL","40,000 m²","Mbour,
Thiès","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e5658546215ff9736caeade7f1f4bab/-/horizon-files-prod/ed/picture/qkrg68p2/b3fc0e1822f26836c77c9f3e2ce8b692017d6b60.jpg"
"1705965855-71","https://www.expat-dakar.com/terrains-a-vendre?page=45","TERRAIN À VENDRE POINTE SARENE","7,000 m²","Mbour,
Thiès","100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/96206877f10ef8eea3e8fd8cd02d076d/-/horizon-files-prod/ed/picture/qrzv68nn/4412692db2140fc1c550f14f8f4e3f74f97fd852.jpg"
"1705965855-72","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain de bon coin 🎊👍🏽","7,000 m²","Almadies,
Dakar","1 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/981a0a668ecf8c4fdc338e0e87837736/-/horizon-files-prod/ed/picture/q56xrxr7/88a7c0108dda6c6a6044cb5a394d76a019fbf93c.jpg"
"1705965855-73","https://www.expat-dakar.com/terrains-a-vendre?page=45","TERRAINS A VENDRE A DIAMNIADIO","150 m²","Diamniadio,
Dakar","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc68e15e2475e5852639c35ef6d0412a/or%3D0/horizon-files-prod/ed/picture/qxj66wj8/d86d693323642a636dc21e7f9a06f13e506bf102.jpg"
"1705965855-74","https://www.expat-dakar.com/terrains-a-vendre?page=45","TERRAIN A VENDRE DERRIÈRE STATION EYDON","500 m²","Almadies,
Dakar","350 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/00c6fe54adcb56433a086e50a16b3a60/-/horizon-files-prod/ed/picture/qwe2n2nk/047db7f750fcef403d9b7cef8fba120d6d8cd4d0.jpg"
"1705965855-75","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain 420m2 à vendre à mbour","420 m²","Mbour,
Thiès","27 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/36dbdbba4b20a989b73eb0045120643e/-/horizon-files-prod/ed/picture/qwe2nekj/b219f3e1d7c997214a9293c259ab88d8bf7d6c5e.jpg"
"1705965855-76","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain commercial Vdn Dakar","1,000 m²","VDN,
Dakar","1 300 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2eb287b51204ac3f8bfb1539dd86ef4/-/horizon-files-prod/ed/picture/q448r4g8/96b52b252300fb19da908d20de4ebdd7e6908e2e.jpg"
"1705965855-77","https://www.expat-dakar.com/terrains-a-vendre?page=45","Terrain à vendre pour projet immo","895 m²","Almadies,
Dakar","700 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/36f503d4d77f327c87ce2e71cc967615/-/horizon-files-prod/ed/picture/q6xkrx8j/32f39ca239dc6f83f49c33be8835697c02b99500.jpg"
"1705965855-78","https://www.expat-dakar.com/terrains-a-vendre?page=45","FANN HOC TERRAIN À VENDRE","290 m²","Fann Hock,
Dakar","330 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d407f513bbe345416ab21ed190debcb3/-/horizon-files-prod/ed/picture/qkrg6rdx/c342d63c8223e094b7895a35ee7a4b1fb330d15e.jpg"
